,Ps,Pi,Pd,Average error,SD
0,0.0,0.008,0.008,0.0,0.0
1,0.022222222222222223,0.008,0.008,0.06194988425380082,0.07732366505426762
2,0.044444444444444446,0.008,0.008,0.10981091565393504,0.11759112182899567
3,0.06666666666666667,0.008,0.008,0.16511045337390948,0.14542385318829648
4,0.08888888888888889,0.008,0.008,0.24332321663993686,0.16521471945246502
5,0.11111111111111112,0.008,0.008,0.2951869531321186,0.2322577102334272
6,0.13333333333333333,0.008,0.008,0.40226884603970225,0.2685066369371638
7,0.15555555555555556,0.008,0.008,0.7213426675852275,0.49708471541136384
8,0.17777777777777778,0.008,0.008,0.9309809157740464,0.4890768163692154
9,0.2,0.008,0.008,1.0846498480240276,0.503733111552622
10,0.0,0.01,0.01,0.0,0.0
11,0.022222222222222223,0.01,0.01,0.057785077155112774,0.08300355792959756
12,0.044444444444444446,0.01,0.01,0.13231613680142984,0.13359635748039878
13,0.06666666666666667,0.01,0.01,0.17851722307857124,0.12260762318806602
14,0.08888888888888889,0.01,0.01,0.2851918271086616,0.23754019643960966
15,0.11111111111111112,0.01,0.01,0.5074852275638717,0.3418173641329027
16,0.13333333333333333,0.01,0.01,0.5571905255076905,0.3586109339651111
17,0.15555555555555556,0.01,0.01,0.7812256043376309,0.3984063252241213
18,0.17777777777777778,0.01,0.01,1.0628339402737417,0.44409161518276435
19,0.2,0.01,0.01,1.0795402009690194,0.7209797312313936
20,0.0,0.02,0.02,0.0,0.0
21,0.022222222222222223,0.02,0.02,0.16768359462358995,0.13930349575837084
22,0.044444444444444446,0.02,0.02,0.2786911653184261,0.14824023995307958
23,0.06666666666666667,0.02,0.02,0.44862898455559863,0.31399600128075805
24,0.08888888888888889,0.02,0.02,0.5355546107006035,0.28326768686200093
25,0.11111111111111112,0.02,0.02,0.6916972090075868,0.2880972860689613
26,0.13333333333333333,0.02,0.02,1.132755174101975,0.3847062348412842
27,0.15555555555555556,0.02,0.02,1.521592975820928,0.5854646533190098
28,0.17777777777777778,0.02,0.02,1.9140267645065276,0.6363943008469991
29,0.2,0.02,0.02,2.626447460267851,0.7960414621225869
