,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates
0,3,1.3333333333333335,1.4740554623801778,18.97222222222222,4.813737415068936,20.625,6.392133837772798,0.3333333333333333
1,4,1.2291666666666667,1.163500167120267,6.645833333333333,3.142934646861822,3.645833333333333,6.094417698462531,0.25
2,5,1.3666666666666667,0.7446102634562892,4.85,2.498833060984,2.6875,6.007771298262129,0.2
3,6,1.277777777777778,0.7777777777777778,2.5972222222222223,1.587895474216435,0.1875,0.8225869592666515,0.16666666666666666
4,7,1.4047619047619047,0.9340497736158586,2.273809523809524,0.9493254557114109,0.4583333333333333,2.8622907492659326,0.14285714285714285
5,8,1.3020833333333333,0.7522391343700339,2.2395833333333335,0.925560547122061,0.20833333333333334,1.3010412496663326,0.125
6,9,1.1018518518518519,0.6441011218310623,2.0277777777777777,0.7943019815284879,0.020833333333333336,0.13010412496663332,0.1111111111111111
7,10,1.0083333333333333,0.603174472639919,1.4666666666666666,0.706320670013903,0.45833333333333337,2.2043990110685496,0.1
8,11,0.9924242424242424,0.570902576685476,1.5,0.5982450612848373,0.4166666666666667,1.90029237516523,0.09090909090909091
9,12,0.9166666666666666,0.45304184528611363,1.465277777777778,0.6543642070224339,0.0,0.0,0.08333333333333333
10,13,0.8397435897435898,0.48646202230523516,1.3653846153846154,0.5857936282386009,0.3541666666666667,1.5688758802970288,0.07692307692307693
11,14,0.7797619047619048,0.4054178858061387,1.25,0.4930066485916346,0.0,0.0,0.07142857142857142
12,15,0.8166666666666667,0.3630716012776557,1.25,0.5204164998665333,0.4375,2.7321866242992994,0.06666666666666667
13,16,0.6458333333333334,0.34798527267687634,1.1302083333333333,0.43672426266149006,0.35416666666666663,2.211770124432766,0.0625
14,17,0.6764705882352942,0.3993218010669863,1.156862745098039,0.3502072764606226,0.0,0.0,0.058823529411764705
15,18,0.6342592592592593,0.3095626699704469,1.087962962962963,0.3975825008638349,0.0,0.0,0.05555555555555555
16,19,0.6008771929824561,0.3571532997637901,1.0175438596491229,0.4061697158873763,0.27083333333333337,1.6913536245662328,0.05263157894736842
17,20,0.6249999999999999,0.39219822085833644,0.9416666666666668,0.31743328257901515,1.2708333333333335,3.9130635021964855,0.05
